City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
202,High Level,58.5169,-117.136,35.01,100,100,9.04,CA,overcast clouds
203,Simao,22.7886,100.9748,53.46,81,30,2.46,CN,scattered clouds
204,Sandakan,5.8402,118.1179,76.06,88,74,2.06,MY,broken clouds
205,Barcelos,41.5388,-8.6151,51.94,62,74,7.65,PT,broken clouds
206,Tahta,26.7693,31.5021,83.28,10,100,6.64,EG,overcast clouds
207,Tonantins,-2.8731,-67.8022,84.2,64,68,3.09,BR,broken clouds
208,Torbay,47.6666,-52.7314,41.76,73,57,27.96,CA,broken clouds
209,Vestmannaeyjar,63.4427,-20.2734,42.98,81,100,18.9,IS,overcast clouds
210,Moree,-29.4667,149.85,63.25,92,12,8.39,AU,few clouds
211,Turtas,58.9417,69.1325,35.87,98,100,13.27,RU,overcast clouds
212,Lakatoro,-16.0999,167.4164,77.0,87,100,13.35,VU,overcast clouds
213,Vardo,70.3705,31.1107,26.58,86,75,4.61,NO,light shower snow
214,Norman Wells,65.282,-126.8329,2.77,89,100,6.64,CA,overcast clouds
215,Raga,8.4596,25.678,81.54,50,68,3.53,SS,broken clouds
216,Tromso,69.6496,18.957,24.82,54,0,3.44,NO,clear sky
217,Vila Franca Do Campo,37.7167,-25.4333,61.21,75,13,14.45,PT,few clouds
218,Turayf,31.6725,38.6637,72.09,14,100,8.25,SA,overcast clouds
219,Comodoro Rivadavia,-45.8667,-67.5,66.06,24,0,25.32,AR,clear sky
220,Garoua,9.3,13.4,91.44,18,100,6.2,CM,overcast clouds
221,Villa Bruzual,9.3328,-69.1208,93.06,36,98,3.49,VE,overcast clouds
222,Verkhoshizhemye,58.011,49.1038,29.35,95,100,8.59,RU,overcast clouds
223,Banihal,33.4167,75.2,54.9,44,0,4.41,IN,clear sky
224,Kurilsk,45.2333,147.8833,35.28,77,0,8.1,RU,clear sky
225,Sisimiut,66.9395,-53.6735,34.07,89,14,4.21,GL,few clouds
226,Dashitou,43.3067,128.5114,38.07,54,0,5.39,CN,clear sky
227,Portland,45.5234,-122.6762,56.44,66,100,10.36,US,overcast clouds
228,Raudeberg,61.9875,5.1352,32.86,92,100,4.72,NO,light snow
