City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Minamiashigara,JP,2022-04-03 10:28:30,35.3193,139.099,48.47,91,100,8.48
133,Tanout,NE,2022-04-03 10:28:30,14.9709,8.8879,97.75,2,68,10.0
134,Asau,RO,2022-04-03 10:28:30,46.4333,26.4,36.52,54,91,10.83
135,Hovd,MN,2022-04-03 10:29:31,48.0056,91.6419,53.56,12,1,8.46
136,Enumclaw,US,2022-04-03 10:28:52,47.2043,-121.9915,45.23,87,100,1.99
137,Bahia Blanca,AR,2022-04-03 10:29:31,-38.7196,-62.2724,60.87,48,76,20.2
138,Meulaboh,ID,2022-04-03 10:29:31,4.1363,96.1285,74.52,94,100,6.4
139,Riyadh,SA,2022-04-03 10:28:07,24.6877,46.7219,96.94,7,5,3.87
140,Saint-Philippe,RE,2022-04-03 10:29:32,-21.3585,55.7679,76.59,92,99,19.57
141,Mahebourg,MU,2022-04-03 10:29:32,-20.4081,57.7,84.25,78,40,17.27
142,Cabo San Lucas,MX,2022-04-03 10:25:07,22.8909,-109.9124,67.51,75,92,12.5
143,Cockburn Town,TC,2022-04-03 10:29:32,21.4612,-71.1419,77.7,79,65,18.28
144,Chokurdakh,RU,2022-04-03 10:29:33,70.6333,147.9167,-14.53,99,18,4.36
145,Zhigansk,RU,2022-04-03 10:29:33,66.7697,123.3711,15.08,95,100,4.85
146,Bensonville,LR,2022-04-03 10:29:33,6.4461,-10.6125,83.75,73,89,4.16
147,Cidreira,BR,2022-04-03 10:29:33,-30.1811,-50.2056,69.76,79,94,17.54
148,Pangnirtung,CA,2022-04-03 10:29:34,66.1451,-65.7125,15.15,71,32,6.02
149,Sitka,US,2022-04-03 10:29:34,57.0531,-135.33,37.29,81,100,23.02
150,San Cristobal,VE,2022-04-03 10:29:34,7.7669,-72.225,66.38,77,38,2.64
151,Campbellton,CA,2022-04-03 10:29:35,48.0075,-66.6727,27.05,82,43,8.95
152,Galway,IE,2022-04-03 10:24:42,53.2719,-9.0489,44.33,72,88,4.99
153,Senneterre,CA,2022-04-03 10:29:35,48.3835,-77.2328,27.88,99,100,3.04
154,Berlevag,NO,2022-04-03 10:29:35,70.8578,29.0864,30.0,64,100,17.05
155,Bud,US,2022-04-03 10:29:35,39.447,-86.1758,36.16,91,66,5.84
156,Raudeberg,NO,2022-04-03 10:29:36,61.9875,5.1352,38.95,94,100,12.21
157,Teguise,ES,2022-04-03 10:29:36,29.0605,-13.564,62.82,68,40,9.22
158,Umm Kaddadah,SD,2022-04-03 10:29:36,13.6017,26.6876,99.97,7,49,12.03
159,Preobrazheniye,RU,2022-04-03 10:29:37,42.9019,133.9064,38.89,75,0,7.83
160,Longyearbyen,SJ,2022-04-03 10:29:37,78.2186,15.6401,8.44,56,20,17.27
161,Upernavik,GL,2022-04-03 10:29:37,72.7868,-56.1549,9.36,87,95,8.25
162,Tiznit,MA,2022-04-03 10:29:38,29.5833,-9.5,59.56,58,9,4.38
163,Yaan,NG,2022-04-03 10:29:38,7.3833,8.5667,92.44,44,96,10.11
164,Tura,IN,2022-04-03 10:27:30,25.5198,90.2201,83.05,62,28,4.25
165,Gerash,IR,2022-04-03 10:29:38,27.6652,54.1371,91.54,6,49,7.49
166,Pionerskiy,RU,2022-04-03 10:29:38,54.9508,20.2275,39.04,56,12,11.1
167,Grand-Santi,GF,2022-04-03 10:29:18,4.25,-54.3833,72.55,100,100,1.41
168,Havre-Saint-Pierre,CA,2022-04-03 10:29:39,50.2334,-63.5986,32.0,64,0,17.27
169,Hami,CN,2022-04-03 10:29:39,42.8,93.45,69.44,11,91,14.41
170,Roald,NO,2022-04-03 10:29:39,62.5833,6.1333,40.33,87,75,5.75
171,Touros,BR,2022-04-03 10:29:40,-5.1989,-35.4608,77.86,88,100,10.33
172,Lebu,CL,2022-04-03 10:29:40,-37.6167,-73.65,46.85,83,90,7.07
173,Barrow,US,2022-04-03 10:29:40,71.2906,-156.7887,-9.38,70,100,16.11
174,Severo-Kurilsk,RU,2022-04-03 10:29:41,50.6789,156.125,29.89,81,75,14.32
175,Brae,GB,2022-04-03 10:29:41,60.3964,-1.353,44.82,86,100,22.03
176,Srivardhan,IN,2022-04-03 10:29:41,18.0333,73.0167,85.95,57,70,14.67
177,Nouakchott,MR,2022-04-03 10:29:41,18.0858,-15.9785,67.93,72,5,14.16
178,Tiarei,PF,2022-04-03 10:29:42,-17.5333,-149.3333,78.82,79,49,7.43
179,Thohoyandou,ZA,2022-04-03 10:29:42,-22.9456,30.485,87.04,36,5,7.2
180,Teya,RU,2022-04-03 10:29:42,60.3778,92.6267,27.54,71,99,7.74
181,Ransang,PH,2022-04-03 10:29:43,8.9603,117.5828,81.41,76,99,2.1
182,Yafran,LY,2022-04-03 10:30:43,32.0633,12.5286,73.8,22,1,8.19
183,Flinders,AU,2022-04-03 10:30:43,-34.5833,150.8552,67.37,66,7,3.0
184,Carnarvon,AU,2022-04-03 10:30:44,-24.8667,113.6333,78.87,83,100,11.5
185,Bilibino,RU,2022-04-03 10:30:38,68.0546,166.4372,-0.53,95,100,4.36
186,Naze,JP,2022-04-03 10:30:44,28.3667,129.4833,58.12,79,100,13.44
187,Amapa,BR,2022-04-03 10:30:44,1.0,-52.0,73.76,99,100,1.54
188,Avarua,CK,2022-04-03 10:30:45,-21.2078,-159.775,73.45,100,100,2.3
189,Tromso,NO,2022-04-03 10:30:45,69.6496,18.957,30.22,74,0,4.61
190,Codrington,AU,2022-04-03 10:30:45,-38.2667,141.9667,58.8,85,69,4.97
191,Georgetown,MY,2022-04-03 10:29:35,5.4112,100.3354,82.33,82,40,11.5
192,Ust-Maya,RU,2022-04-03 10:30:46,60.4167,134.5333,12.18,95,100,3.0
193,Dubbo,AU,2022-04-03 10:30:46,-32.25,148.6167,60.93,51,31,4.61
194,Provideniya,RU,2022-04-03 10:30:46,64.3833,-173.3,3.74,69,0,9.86
195,Watertown,US,2022-04-03 10:26:34,42.3709,-71.1828,38.57,70,0,3.44
196,Aykhal,RU,2022-04-03 10:29:56,66.0,111.5,10.69,87,100,4.9
197,Kaarina,FI,2022-04-03 10:30:46,60.4072,22.369,39.34,52,75,12.66
198,Santa Cruz,BO,2022-04-03 10:30:47,-17.8,-63.1667,66.25,88,1,13.8
199,Manaure,CO,2022-04-03 10:30:47,11.7751,-72.4445,76.66,80,90,7.74
200,Port Moresby,PG,2022-04-03 10:30:47,-9.4431,147.1797,77.52,84,100,4.23
201,Ondjiva,AO,2022-04-03 10:30:47,-17.0667,15.7333,77.04,69,40,5.75
202,Saldanha,ZA,2022-04-03 10:30:48,-33.0117,17.9442,77.05,62,0,7.87
203,Namibe,AO,2022-04-03 10:30:48,-15.1961,12.1522,74.03,73,100,9.22
204,Bubaque,GW,2022-04-03 10:30:48,11.2833,-15.8333,74.48,63,97,6.17
205,Kavaratti,IN,2022-04-03 10:30:49,10.5669,72.642,83.26,68,32,4.94
206,Clyde River,CA,2022-04-03 10:30:49,70.4692,-68.5914,5.23,92,75,4.61
207,Fortuna,US,2022-04-03 10:29:06,40.5982,-124.1573,45.93,96,100,0.0
208,Balkanabat,TM,2022-04-03 10:30:49,39.5108,54.3671,90.01,7,0,7.65
209,Tigzirt,DZ,2022-04-03 10:30:50,36.8886,4.1198,49.48,73,100,7.61
210,Almaznyy,RU,2022-04-03 10:30:50,48.0448,40.045,61.75,46,85,23.31
211,North Platte,US,2022-04-03 10:29:37,41.1239,-100.7654,42.39,65,0,4.0
212,Gigmoto,PH,2022-04-03 10:30:50,13.7796,124.39,77.95,79,23,8.19
213,Mount Gambier,AU,2022-04-03 10:30:51,-37.8333,140.7667,55.31,88,40,6.91
214,Bam,IR,2022-04-03 10:30:51,29.106,58.357,90.72,5,0,12.19
215,Mayumba,GA,2022-04-03 10:30:51,-3.432,10.6554,82.87,77,82,6.62
216,Labuhan,ID,2022-04-03 10:30:52,-6.8844,112.2051,81.46,78,39,3.65
217,Leningradskiy,RU,2022-04-03 10:30:52,69.3833,178.4167,-17.9,100,98,4.56
218,Ravar,IR,2022-04-03 10:30:52,31.2656,56.8055,85.44,8,0,12.28
219,Cayenne,GF,2022-04-03 10:30:05,4.9333,-52.3333,77.09,1,75,12.66
220,Izumo,JP,2022-04-03 10:30:52,35.3667,132.7667,51.75,66,20,14.97
221,Ust-Kuyga,RU,2022-04-03 10:30:53,70.0167,135.6,-15.63,95,90,4.16
222,Torbay,CA,2022-04-03 10:30:26,47.6666,-52.7314,35.58,89,100,19.57
223,Chimoio,MZ,2022-04-03 10:30:53,-19.1164,33.4833,82.26,65,75,10.36
224,Kenora,CA,2022-04-03 10:30:29,49.8167,-94.4337,27.57,86,40,4.61
225,Yumen,CN,2022-04-03 10:30:53,40.2833,97.2,58.77,11,83,19.3
226,East London,ZA,2022-04-03 10:30:11,-33.0153,27.9116,76.14,73,0,13.8
227,Poum,NC,2022-04-03 10:30:54,-20.2333,164.0167,82.42,83,96,15.26
228,Comodoro Rivadavia,AR,2022-04-03 10:31:19,-45.8667,-67.5,44.46,65,0,8.05
229,Ayan,RU,2022-04-03 10:31:54,56.45,138.1667,26.19,90,100,10.04
230,Nortelandia,BR,2022-04-03 10:31:54,-14.4547,-56.8028,71.1,91,17,0.49
231,Yerbogachen,RU,2022-04-03 10:31:55,61.2767,108.0108,19.42,80,100,9.53
232,Dunedin,NZ,2022-04-03 10:31:48,-45.8742,170.5036,55.8,83,28,4.74
233,Tefe,BR,2022-04-03 10:31:55,-3.3542,-64.7114,70.59,98,99,1.41
234,Shenjiamen,CN,2022-04-03 10:31:55,29.9576,122.298,50.56,63,0,10.74
235,Luderitz,NA,2022-04-03 10:31:55,-26.6481,15.1594,67.35,66,0,13.44
236,Victoria,HK,2022-04-03 10:27:05,22.2855,114.1577,70.25,53,0,11.01
237,Minab,IR,2022-04-03 10:31:56,27.1467,57.0801,97.12,24,0,6.91
238,Gamba,GA,2022-04-03 10:31:56,-2.65,10.0,84.09,70,100,7.61
239,Lachi,PK,2022-04-03 10:31:56,33.3833,71.3386,92.21,10,0,9.6
240,Stanilesti,RO,2022-04-03 10:31:57,46.6183,28.1714,49.32,54,93,14.76
241,Araouane,ML,2022-04-03 10:31:57,18.9048,-3.5265,99.28,8,0,7.4
242,Salmas,IR,2022-04-03 10:31:57,38.1973,44.7653,75.63,11,19,9.01
