City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
160,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
161,Qurayyat,SA,72.16,overcast clouds,31.3318,37.3428,Resorts Kandel
163,Kupang,ID,76.3,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
169,Tautira,PF,81.81,light rain,-17.7333,-149.15,Pension Oaoa
172,Kahului,US,78.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
174,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
176,Deltona,US,83.01,clear sky,28.9005,-81.2637,Travelodge by Wyndham Deltona
178,San Rafael,AR,65.97,few clouds,-34.6177,-68.3301,Hotel San Rafael
179,Half Moon Bay,US,79.54,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
182,Mlonggo,ID,75.74,overcast clouds,-6.5333,110.7,Asia Metal Art
183,Caravelas,BR,80.02,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
186,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
189,Kaeo,NZ,66.33,few clouds,-35.1,173.7833,Bushido Lodge
190,San Salvador,SV,84.06,few clouds,13.6894,-89.1872,Hostal La Portada
193,Isla Vista,US,69.91,overcast clouds,34.4133,-119.861,Best Western Plus South Coast Inn
195,Kieta,PG,79.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
196,Rincon,US,76.96,clear sky,32.296,-81.2354,Days Inn Rincon
197,Flinders,AU,61.38,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
199,Saint George,US,74.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
200,Abu Dhabi,AE,74.97,scattered clouds,24.4667,54.3667,Beach Rotana
201,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
204,Sandakan,MY,76.06,broken clouds,5.8402,118.1179,Hotel Sandakan
206,Tahta,EG,83.28,overcast clouds,26.7693,31.5021,فندق الزيات
207,Tonantins,BR,84.2,broken clouds,-2.8731,-67.8022,Hotel Hortensias
210,Moree,AU,63.25,few clouds,-29.4667,149.85,Molika Springs Motel
212,Lakatoro,VU,77.0,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
217,Vila Franca Do Campo,PT,61.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
218,Turayf,SA,72.09,overcast clouds,31.6725,38.6637,Turaif
219,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
229,Sakakah,SA,78.64,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
232,Lompoc,US,69.69,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
234,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
235,El Sauzal,MX,63.41,broken clouds,31.9,-116.6833,Hotel Las Rosas & Spa
236,Warri,NG,80.74,overcast clouds,5.5167,5.75,BON Hotel Delta
237,Nago,JP,61.23,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
239,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
244,Gambela,ET,80.17,light rain,8.25,34.5833,Solomon Debebe Hotel
246,Panacan,PH,78.96,overcast clouds,9.2463,118.4082,Mom's Place Resort
247,Ribeira Grande,PT,63.0,few clouds,38.5167,-28.7,Quinta da Meia Eira
248,Meulaboh,ID,74.25,overcast clouds,4.1363,96.1285,Kost Pria
250,Kruisfontein,ZA,60.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
251,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
